,label
633,5
634,4
635,1
636,1
637,2
638,4
639,1
640,9
641,2
642,5
643,3
644,9
645,1
646,4
647,7
648,1
649,0
650,1
651,4
652,3
653,3
654,9
655,6
656,6
657,7
658,5
659,4
660,6
661,1
662,8
663,3
664,5
665,2
666,2
667,3
668,2
669,6
670,3
671,7
672,6
673,5
674,6
675,2
676,1
677,6
678,4
679,2
680,6
681,7
682,3
683,9
684,0
685,2
686,7
687,6
688,0
689,4
690,3
691,9
692,6
693,6
694,0
695,2
696,5
697,6
698,5
699,7
700,2
701,4
702,8
703,5
704,1
705,7
706,8
707,3
708,7
709,1
710,4
711,6
712,5
713,8
714,9
715,3
716,8
717,1
718,0
719,4
720,1
721,7
722,7
723,9
724,1
725,6
726,6
727,3
728,2
729,9
730,2
731,9
732,9
733,9
734,2
735,4
736,3
737,2
738,9
739,5
740,1
741,0
742,7
743,8
744,9
745,0
746,6
747,6
748,8
749,6
750,7
751,5
752,7
753,2
754,9
755,7
756,8
757,7
758,1
759,2
760,3
761,7
762,7
763,3
764,6
765,8
766,0
767,0
768,6
769,8
770,5
771,0
772,9
773,9
774,5
775,7
776,2
777,0
778,9
779,8
780,0
781,7
782,2
783,3
784,3
785,6
786,6
787,7
788,9
789,7
790,3
791,4
792,2
793,8
794,0
795,1
796,3
797,3
798,9
799,0
800,6
801,9
802,5
803,8
804,2
805,6
806,5
807,7
808,3
809,4
810,6
811,5
812,8
813,1
814,7
815,8
816,3
817,6
818,3
819,8
820,1
821,7
822,3
823,7
824,4
825,1
826,1
827,7
828,3
829,7
830,5
831,0
832,1
833,0
834,9
835,3
836,7
837,6
838,2
839,4
840,9
841,2
842,5
843,9
844,2
845,6
846,9
847,3
848,0
849,8
850,6
851,8
852,9
853,7
854,9
855,8
856,3
857,4
858,4
859,0
860,2
861,8
862,3
863,6
864,3
865,4
866,1
867,0
868,4
869,2
870,7
871,6
872,8
873,2
874,8
875,4
876,5
877,1
878,1
879,1
880,5
881,0
882,9
883,3
884,1
885,3
886,2
887,9
888,8
889,8
890,2
891,9
892,0
893,3
894,0
895,8
896,5
897,4
898,2
899,0
900,3
901,3
902,4
903,7
904,9
905,2
906,1
907,1
908,4
909,2
910,8
911,5
912,0
913,3
914,9
915,3
916,3
917,2
918,7
919,8
920,2
921,7
922,4
923,7
924,3
925,0
926,1
927,4
928,6
929,7
930,9
931,6
932,6
933,3
934,1
935,9
936,6
937,6
938,3
939,7
940,0
941,9
942,2
943,7
944,5
945,3
946,2
947,1
948,1
949,4
950,1
951,5
952,0
953,6
954,3
955,1
956,0
957,7
958,0
959,3
960,1
961,2
962,0
963,2
964,7
965,3
966,9
967,0
968,1
969,8
970,0
971,1
972,3
973,3
974,8
975,4
976,9
977,4
978,3
979,3
980,0
981,2
982,3
983,0
984,6
985,4
986,3
987,5
988,5
989,4
990,3
991,3
992,6
993,1
994,8
995,3
996,7
997,1
998,2
999,6
1000,2
1001,6
1002,4
1003,8
1004,4
1005,7
1006,9
1007,9
1008,5
1009,7
1010,4
1011,2
1012,5
1013,9
1014,0
1015,2
1016,9
1017,7
1018,4
1019,5
1020,8
1021,7
1022,8
1023,3
1024,8
1025,4
1026,0
1027,9
1028,6
1029,2
1030,4
1031,8
1032,0
1033,8
1034,0
1035,0
1036,6
1037,1
1038,1
1039,8
1040,3
1041,9
1042,1
1043,3
1044,0
1045,7
1046,4
1047,8
1048,8
1049,7
1050,3
1051,1
1052,6
1053,5
1054,2
1055,9
1056,0
1057,3
1058,9
1059,8
1060,1
1061,2
1062,2
1063,9
1064,1
1065,5
1066,6
1067,4
1068,4
1069,1
1070,6
1071,1
1072,0
1073,8
1074,1
1075,7
1076,7
1077,1
1078,4
1079,9
1080,2
1081,7
1082,9
1083,0
1084,6
1085,4
1086,3
1087,2
1088,6
1089,7
1090,6
1091,0
1092,9
1093,1
1094,6
1095,4
1096,1
1097,9
1098,2
1099,0
1100,2
1101,2
1102,2
1103,8
1104,8
1105,5
1106,6
1107,2
1108,4
1109,9
1110,0
1111,8
1112,4
1113,9
1114,0
1115,2
1116,1
1117,0
1118,3
1119,2
1120,7
1121,4
1122,6
1123,3
1124,3
1125,0
1126,0
1127,9
1128,3
1129,3
1130,7
1131,0
1132,8
1133,2
1134,7
1135,1
1136,3
1137,7
1138,4
1139,3
1140,5
1141,6
1142,0
1143,4
1144,6
1145,9
1146,3
1147,7
1148,9
1149,6
1150,3
1151,8
1152,8
1153,4
1154,7
1155,2
1156,4
1157,7
1158,0
1159,1
1160,6
1161,3
1162,0
1163,3
1164,3
1165,0
1166,2
1167,3
1168,7
1169,1
1170,8
1171,6
1172,4
1173,0
1174,0
1175,2
1176,1
1177,6
1178,3
1179,3
1180,3
1181,1
1182,0
1183,8
1184,2
1185,2
1186,2
1187,2
1188,7
1189,2
1190,3
1191,0
1192,9
1193,7
1194,6
1195,7
1196,6
1197,5
1198,8
1199,9
1200,7
1201,2
1202,0
1203,1
1204,4
1205,6
1206,3
1207,5
1208,1
1209,0
1210,5
1211,2
1212,5
1213,7
1214,9
1215,0
1216,3
1217,3
1218,3
1219,7
1220,2
1221,7
1222,2
1223,2
1224,5
1225,1
1226,9
1227,7
1228,1
1229,4
1230,7
1231,7
1232,3
1233,5
1234,9
1235,7
1236,0
1237,8
1238,8
1239,3
1240,0
1241,4
1242,5
1243,8
1244,6
1245,1
1246,3
1247,6
1248,3
1249,9
1250,6
1251,8
1252,4
1253,3
1254,7
1255,1
1256,5
1257,0
1258,9
1259,5
1260,6
1261,9
1262,8
1263,2
1264,2
1265,3
1266,1
1267,4
1268,6
1269,0
1270,7
1271,3
1272,7
1273,3
1274,8
1275,2
1276,8
1277,7
1278,8
1279,5
1280,9
1281,2
1282,5
1283,9
1284,3
1285,3
1286,0
1287,7
1288,2
1289,9
1290,4
1291,0
1292,4
1293,5
1294,2
1295,4
1296,1
1297,8
1298,8
1299,5
1300,8
1301,4
1302,2
1303,8
1304,5
1305,0
1306,3
1307,6
1308,4
1309,2
1310,3
1311,4
1312,2
1313,8
1314,5
1315,2
1316,0
1317,1
1318,0
1319,8
1320,1
1321,1
1322,3
1323,9
1324,9
1325,6
1326,5
1327,1
1328,8
1329,7
1330,3
1331,2
1332,5
1333,1
1334,5
1335,1
1336,3
1337,3
1338,1
1339,0
1340,8
1341,2
1342,2
1343,1
1344,0
1345,0
1346,0
1347,0
1348,1
1349,9
1350,7
1351,0
1352,4
1353,3
1354,8
1355,8
1356,0
1357,2
1358,0
1359,7
1360,8
1361,4
1362,9
1363,6
1364,9
1365,4
1366,8
1367,5
1368,8
1369,9
1370,1
1371,4
1372,3
1373,3
1374,8
1375,5
1376,8
1377,3
1378,0
1379,0
1380,7
1381,9
1382,8
1383,7
1384,7
1385,5
1386,7
1387,7
1388,9
1389,4
1390,3
1391,3
1392,0
1393,3
1394,8
1395,0
1396,2
1397,9
1398,3
1399,5
1400,0
1401,6
1402,3
1403,3
1404,1
1405,5
1406,9
1407,1
1408,4
1409,3
1410,5
1411,3
1412,9
1413,9
1414,8
1415,2
1416,0
1417,6
1418,0
1419,1
1420,2
1421,0
1422,0
1423,5
1424,2
1425,3
1426,3
1427,0
1428,1
1429,4
1430,1
1431,9
1432,7
1433,7
1434,7
1435,9
1436,2
1437,6
1438,7
1439,7
1440,7
1441,4
1442,2
1443,9
1444,8
1445,1
1446,9
1447,6
1448,7
1449,1
1450,5
1451,4
1452,1
1453,7
1454,6
1455,5
1456,6
1457,7
1458,6
1459,1
1460,2
1461,8
1462,2
1463,7
1464,7
1465,0
1466,7
1467,7
1468,6
1469,4
1470,5
1471,6
1472,5
1473,8
1474,3
1475,9
1476,1
1477,5
1478,8
1479,1
1480,1
1481,9
1482,2
1483,3
1484,2
1485,7
1486,7
1487,5
1488,8
1489,6
1490,3
1491,8
1492,3
1493,3
1494,8
1495,4
1496,1
1497,2
1498,1
1499,2
1500,8
1501,8
1502,2
1503,7
1504,0
1505,9
1506,2
1507,2
1508,8
1509,4
1510,0
1511,7
1512,7
1513,3
1514,1
1515,2
1516,3
1517,3
1518,7
1519,2
1520,6
1521,7
1522,5
1523,8
1524,4
1525,7
1526,9
1527,0
1528,4
1529,6
1530,9
1531,3
1532,9
1533,0
1534,6
1535,0
1536,7
1537,3
1538,8
1539,2
1540,2
1541,2
1542,3
1543,8
1544,7
1545,8
1546,8
1547,6
1548,5
1549,8
1550,8
1551,7
1552,6
1553,7
1554,8
1555,0
1556,2
1557,4
1558,6
1559,4
1560,9
1561,0
1562,1
1563,3
1564,0
1565,7
1566,9
1567,3
1568,1
1569,8
1570,1
1571,5
1572,5
1573,7
1574,4
1575,5
1576,1
1577,6
1578,5
1579,1
1580,5
1581,7
1582,6
1583,9
1584,8
1585,8
1586,7
1587,3
1588,4
1589,2
1590,7
1591,8
1592,0
1593,7
1594,7
1595,0
1596,6
1597,4
1598,9
1599,0
1600,5
1601,7
1602,0
1603,2
1604,2
1605,4
1606,2
1607,0
1608,6
1609,3
1610,1
1611,3
1612,4
1613,5
1614,6
1615,3
1616,8
1617,8
1618,5
1619,5
1620,1
1621,3
1622,6
1623,5
1624,6
1625,7
1626,1
1627,1
1628,2
1629,2
1630,3
1631,4
1632,2
1633,2
1634,6
1635,8
1636,4
1637,1
1638,4
1639,9
1640,9
1641,0
1642,4
1643,4
1644,1
1645,3
1646,5
1647,2
1648,9
1649,1
1650,0
1651,4
1652,0
1653,2
1654,8
1655,2
1656,3
1657,8
1658,3
1659,0
1660,1
1661,8
1662,0
1663,0
1664,3
1665,4
1666,8
1667,1
1668,7
1669,1
1670,4
1671,1
1672,0
1673,2
1674,7
1675,7
1676,2
1677,1
1678,3
1679,4
1680,1
1681,0
1682,4
1683,7
1684,0
1685,8
1686,7
1687,2
1688,3
1689,2
1690,8
1691,6
1692,5
1693,3
1694,8
1695,9
1696,5
1697,5
1698,9
1699,6
1700,3
1701,2
1702,7
1703,2
1704,3
1705,4
1706,1
1707,6
1708,4
1709,3
1710,9
1711,9
1712,8
1713,1
1714,5
1715,0
1716,4
1717,9
1718,2
1719,2
1720,9
1721,0
1722,4
1723,7
1724,4
1725,4
1726,1
1727,3
1728,6
1729,5
1730,6
1731,9
1732,2
1733,9
1734,7
1735,3
1736,0
1737,6
1738,7
1739,7
1740,5
1741,6
1742,1
1743,9
1744,7
1745,5
1746,6
1747,1
1748,4
1749,0
1750,7
1751,2
1752,3
1753,1
1754,4
1755,9
1756,4
1757,1
1758,1
1759,2
1760,5
1761,4
1762,5
1763,9
1764,1
1765,6
1766,4
1767,4
1768,1
1769,1
1770,8
1771,2
1772,6
1773,3
1774,4
1775,2
1776,4
1777,3
1778,5
1779,5
1780,0
1781,6
1782,8
1783,4
1784,1
1785,7
1786,2
1787,2
1788,4
1789,3
1790,4
1791,8
1792,3
1793,9
1794,0
1795,6
1796,4
1797,3
1798,5
1799,0
1800,5
1801,2
1802,4
1803,7
1804,0
1805,3
1806,5
1807,6
1808,8
1809,4
1810,9
1811,0
1812,5
1813,7
1814,4
1815,6
1816,9
1817,6
1818,9
1819,0
1820,5
1821,0
1822,5
1823,2
1824,3
1825,5
1826,6
1827,1
1828,5
1829,1
1830,3
1831,2
1832,0
1833,8
1834,6
1835,5
1836,5
1837,1
1838,7
1839,2
1840,3
1841,2
1842,3
1843,1
1844,2
1845,1
1846,8
1847,9
1848,6
1849,0
1850,1
1851,5
1852,0
1853,8
1854,2
1855,4
1856,8
1857,4
1858,9
1859,8
1860,5
1861,7
1862,8
1863,2
1864,9
1865,6
1866,8
1867,3
1868,0
1869,4
1870,5
1871,0
1872,1
1873,4
1874,1
1875,3
1876,7
1877,7
1878,9
1879,4
1880,3
1881,4
1882,4
1883,2
1884,9
1885,3
1886,3
1887,2
1888,5
1889,3
1890,0
1891,1
1892,3
1893,5
1894,3
1895,5
1896,2
1897,1
1898,3
1899,7
1900,8
1901,0
1902,1
1903,1
1904,7
1905,5
1906,4
1907,4
1908,8
1909,9
1910,3
1911,7
1912,4
1913,8
1914,3
1915,4
1916,3
1917,8
1918,7
1919,1
1920,3
1921,8
1922,6
1923,2
1924,8
1925,9
1926,5
1927,2
1928,7
1929,4
1930,6
1931,1
1932,4
1933,3
1934,0
1935,7
1936,0
1937,6
1938,0
1939,8
1940,1
1941,1
1942,9
1943,1
1944,9
1945,5
1946,8
1947,3
1948,4
1949,3
1950,0
1951,6
1952,0
1953,9
1954,8
1955,4
1956,8
1957,8
1958,3
1959,4
1960,0
1961,7
1962,0
1963,9
1964,2
1965,5
1966,2
1967,4
1968,4
1969,0
1970,0
1971,5
1972,7
1973,0
1974,2
1975,1
1976,0
1977,9
1978,9
1979,3
1980,8
1981,5
1982,5
1983,2
1984,2
1985,8
1986,0
1987,8
1988,6
1989,0
1990,8
1991,4
1992,6
1993,3
1994,4
1995,5
1996,2
1997,1
1998,1
1999,1
2000,7
2001,9
2002,9
2003,3
2004,4
2005,7
2006,3
2007,1
2008,0
2009,2
2010,7
2011,3
2012,2
2013,7
2014,0
2015,8
2016,1
2017,1
2018,1
2019,2
2020,0
2021,1
2022,2
2023,3
2024,9
2025,7
2026,3
2027,0
2028,1
2029,4
2030,7
2031,4
2032,8
2033,7
2034,2
2035,6
2036,4
2037,3
2038,0
2039,9
2040,0
2041,7
2042,3
2043,2
2044,4
2045,7
2046,7
2047,6
2048,3
2049,5
2050,3
2051,4
2052,8
2053,1
2054,0
2055,1
2056,6
2057,8
2058,9
2059,3
2060,7
2061,9
2062,4
2063,9
2064,9
2065,3
2066,2
2067,3
2068,7
2069,2
2070,3
2071,3
2072,6
2073,8
2074,1
2075,1
2076,3
2077,4
2078,0
2079,7
2080,7
2081,4
2082,1
2083,6
2084,5
2085,7
2086,8
2087,4
2088,4
2089,5
2090,4
2091,7
2092,4
2093,7
2094,8
2095,0
2096,1
2097,9
2098,5
2099,4
2100,3
2101,3
2102,4
2103,3
2104,8
2105,7
2106,8
2107,8
2108,3
2109,2
2110,7
2111,6
2112,7
2113,8
2114,8
2115,7
2116,0
2117,7
2118,3
2119,1
2120,4
2121,9
2122,1
2123,1
2124,8
2125,2
2126,4
2127,1
2128,3
2129,3
2130,9
2131,3
2132,5
2133,7
2134,5
2135,1
2136,7
2137,9
2138,8
2139,0
2140,6
2141,1
2142,4
2143,4
2144,6
2145,3
2146,7
2147,6
2148,2
2149,4
2150,8
2151,0
2152,4
2153,2
2154,6
2155,8
2156,2
2157,1
2158,7
2159,7
2160,4
2161,4
2162,6
2163,2
2164,4
2165,6
2166,1
2167,2
2168,3
2169,9
2170,0
2171,3
2172,6
2173,5
2174,5
2175,6
2176,2
2177,9
2178,3
2179,5
2180,7
2181,8
2182,9
2183,9
2184,5
2185,5
2186,6
2187,3
2188,1
2189,0
2190,9
2191,3
2192,0
2193,4
2194,6
2195,1
2196,3
2197,9
2198,1
2199,5
2200,0
2201,6
2202,6
2203,3
2204,2
2205,3
2206,6
2207,2
2208,0
2209,0
2210,4
2211,6
2212,3
2213,1
2214,7
2215,4
2216,7
2217,6
2218,6
2219,4
2220,3
2221,8
2222,5
2223,8
2224,3
2225,4
2226,1
2227,8
2228,8
2229,3
2230,4
2231,8
2232,3
2233,3
2234,9
2235,9
2236,2
2237,9
2238,6
2239,8
2240,6
2241,7
2242,1
2243,4
2244,9
2245,6
2246,6
2247,6
2248,9
2249,6
2250,5
2251,7
2252,6
2253,8
2254,3
2255,2
2256,4
2257,2
2258,0
2259,1
2260,9
2261,4
2262,6
2263,3
2264,1
2265,2
2266,2
2267,0
2268,0
2269,5
2270,4
2271,3
2272,2
2273,9
2274,9
2275,8
2276,0
2277,9
2278,8
2279,7
2280,4
2281,4
2282,6
2283,1
2284,7
2285,9
2286,2
2287,2
2288,6
2289,5
2290,8
2291,9
2292,7
2293,6
2294,1
2295,4
2296,9
2297,7
2298,2
2299,0
2300,8
2301,7
2302,5
2303,9
2304,5
2305,1
2306,3
2307,0
2308,8
2309,0
2310,3
2311,7
2312,4
2313,5
2314,6
2315,1
2316,5
2317,1
2318,8
2319,1
2320,4
2321,5
2322,1
2323,9
2324,7
2325,5
2326,0
2327,9
2328,6
2329,1
2330,6
2331,8
2332,6
2333,9
2334,0
2335,8
2336,4
2337,1
2338,1
2339,5
2340,9
2341,1
2342,6
2343,0
2344,3
2345,6
2346,3
2347,0
2348,8
2349,2
2350,2
2351,2
2352,7
2353,9
2354,3
2355,4
2356,4
2357,8
2358,6
2359,8
2360,5
2361,0
2362,7
2363,1
2364,8
2365,4
2366,2
2367,1
2368,4
2369,1
2370,7
2371,6
2372,7
2373,2
2374,9
2375,9
2376,8
2377,5
2378,1
2379,2
2380,4
2381,3
2382,0
2383,4
2384,4
2385,3
2386,5
2387,4
2388,7
2389,9
2390,0
2391,9
2392,2
2393,0
2394,8
2395,7
2396,6
2397,8
2398,1
2399,8
2400,4
2401,9
2402,7
2403,5
2404,7
2405,3
2406,6
2407,0
2408,6
2409,0
2410,7
2411,9
2412,9
2413,5
2414,4
2415,4
2416,3
2417,6
2418,9
2419,6
2420,0
2421,4
2422,3
2423,8
2424,0
2425,3
2426,0
2427,1
2428,5
2429,1
2430,3
2431,9
2432,1
2433,7
2434,2
2435,6
2436,7
2437,2
2438,0
2439,6
2440,8
2441,5
2442,6
2443,1
2444,3
2445,8
2446,4
2447,1
2448,3
2449,6
2450,9
2451,3
2452,4
2453,8
2454,6
2455,9
2456,3
2457,0
2458,5
2459,2
2460,2
2461,2
2462,3
2463,9
2464,7
2465,9
2466,9
2467,0
2468,0
2469,0
2470,0
2471,1
2472,1
2473,5
2474,1
2475,3
2476,0
2477,6
2478,4
2479,2
2480,3
2481,4
2482,0
2483,5
2484,4
2485,6
2486,7
2487,0
2488,1
2489,6
2490,4
2491,9
2492,7
2493,5
2494,3
2495,3
2496,3
2497,8
2498,1
2499,6
2500,4
2501,6
2502,1
2503,2
2504,5
2505,0
2506,6
2507,3
2508,8
2509,3
2510,8
2511,2
2512,9
2513,2
2514,7
2515,9
2516,0
2517,7
2518,7
2519,1
2520,2
2521,9
2522,9
2523,5
2524,4
2525,5
2526,4
2527,5
2528,0
2529,8
2530,0
2531,9
2532,3
2533,6
2534,2
2535,0
2536,6
2537,3
2538,6
2539,3
2540,9
2541,1
2542,3
2543,0
2544,5
2545,1
2546,9
2547,5
2548,4
2549,6
2550,3
2551,8
2552,5
2553,6
2554,2
2555,8
2556,5
2557,0
2558,2
2559,0
2560,8
2561,4
2562,4
2563,0
2564,7
2565,5
2566,5
2567,5
2568,6
2569,4
2570,9
2571,2
2572,5
2573,5
2574,3
2575,0
2576,0
2577,7
2578,0
2579,5
2580,1
2581,7
2582,9
2583,6
2584,6
2585,3
2586,4
2587,8
2588,7
2589,2
2590,4
2591,1
2592,2
2593,4
2594,6
2595,7
2596,7
2597,8
2598,0
2599,8
2600,3
2601,3
2602,3
2603,2
2604,9
2605,1
2606,4
2607,9
2608,6
2609,1
2610,7
2611,9
2612,9
2613,5
2614,2
2615,9
2616,6
2617,3
2618,1
2619,3
2620,5
2621,5
2622,4
2623,0
2624,9
2625,7
2626,4
2627,0
2628,4
2629,4
2630,1
2631,9
2632,8
2633,3
2634,4
2635,6
2636,1
2637,4
2638,1
2639,6
2640,6
2641,3
2642,4
2643,9
2644,0
2645,4
2646,1
2647,8
2648,1
2649,1
2650,8
2651,2
2652,4
2653,7
2654,3
2655,8
2656,0
2657,4
2658,1
2659,4
2660,0
2661,6
2662,9
2663,3
2664,1
2665,5
2666,5
2667,7
2668,3
2669,6
2670,7
2671,0
2672,1
2673,3
2674,4
2675,1
2676,1
2677,2
2678,9
2679,1
2680,7
2681,5
2682,2
2683,6
2684,3
2685,1
2686,2
2687,7
2688,3
2689,6
2690,7
2691,9
2692,5
2693,3
2694,6
2695,6
2696,9
2697,6
2698,0
2699,7
2700,2
2701,3
2702,3
2703,5
2704,0
2705,5
2706,9
2707,8
2708,5
2709,5
2710,4
2711,8
2712,4
2713,3
2714,1
2715,7
2716,9
2717,8
2718,3
2719,3
2720,0
2721,5
2722,8
2723,2
2724,2
2725,2
2726,9
2727,1
2728,7
2729,0
2730,2
2731,5
2732,9
2733,1
2734,4
2735,2
2736,6
2737,9
2738,2
2739,8
2740,4
2741,2
2742,8
2743,6
2744,8
2745,6
2746,2
2747,2
2748,7
2749,6
2750,6
2751,2
2752,2
2753,2
2754,3
2755,0
2756,8
2757,8
2758,6
2759,3
2760,5
2761,5
2762,9
2763,5
2764,2
2765,9
2766,2
2767,0
2768,2
2769,3
2770,8
2771,0
2772,8
2773,1
2774,9
2775,8
2776,9
2777,7
2778,3
2779,6
2780,0
2781,2
2782,8
2783,0
2784,7
2785,9
2786,2
2787,9
2788,9
2789,4
2790,7
2791,0
2792,5
2793,1
2794,3
2795,2
2796,3
2797,3
2798,7
2799,5
2800,3
2801,7
2802,9
2803,7
2804,7
2805,2
2806,3
2807,1
2808,3
2809,3
2810,4
2811,0
2812,3
2813,0
2814,5
2815,9
2816,2
2817,0
2818,3
2819,3
2820,1
2821,1
2822,7
2823,7
2824,8
2825,1
2826,0
2827,1
2828,5
2829,9
2830,5
2831,7
2832,2
2833,7
2834,2
2835,1
2836,3
2837,1
2838,3
2839,0
2840,7
2841,3
2842,8
2843,8
2844,7
2845,4
2846,9
2847,2
2848,4
2849,0
2850,3
2851,7
2852,3
2853,0
2854,0
2855,7
2856,7
2857,4
2858,1
2859,0
2860,0
2861,9
2862,0
2863,1
2864,1
2865,1
2866,8
2867,2
2868,1
2869,1
2870,3
2871,4
2872,7
2873,4
2874,4
2875,3
2876,1
2877,3
2878,7
2879,9
2880,1
2881,6
2882,3
2883,6
2884,0
2885,2
2886,3
2887,5
2888,2
2889,6
2890,8
2891,1
2892,5
2893,5
2894,1
2895,2
2896,5
2897,6
2898,5
2899,7
2900,5
2901,4
2902,4
2903,0
2904,3
2905,9
2906,9
2907,0
2908,7
2909,9
2910,8
2911,2
2912,0
2913,8
2914,6
2915,7
2916,8
2917,3
2918,8
2919,5
2920,1
2921,1
2922,9
2923,4
2924,7
2925,5
2926,7
2927,3
2928,1
2929,2
2930,8
2931,2
2932,5
2933,1
2934,6
2935,5
2936,9
2937,7
2938,1
2939,1
2940,2
2941,8
2942,1
2943,8
2944,4
2945,5
2946,3
2947,5
2948,1
2949,7
2950,3
2951,1
2952,0
2953,0
2954,2
2955,5
2956,6
2957,9
2958,3
2959,5
2960,2
2961,9
2962,3
2963,3
2964,9
2965,0
2966,3
2967,1
2968,2
2969,4
2970,8
2971,1
2972,7
2973,9
2974,6
2975,5
2976,4
2977,2
2978,6
2979,3
2980,0
2981,2
2982,2
2983,4
2984,1
2985,4
2986,3
2987,7
2988,2
2989,7
2990,4
2991,3
2992,8
2993,1
2994,5
2995,2
2996,5
2997,3
